epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,4183.25,0.65338,0.26829,0.91446,0.99988,1,0.995,0.84895,0.68252,0.22532,0.9303,0.0002576,0.0002576,0.0002576
90,4231.02,0.65397,0.26601,0.91309,0.99976,1,0.995,0.84583,0.68013,0.22212,0.9296,0.0002378,0.0002378,0.0002378
91,4278.02,0.6358,0.2363,0.91392,0.99988,1,0.995,0.84364,0.68343,0.22382,0.93315,0.000218,0.000218,0.000218
92,4323.35,0.63394,0.23545,0.90946,0.99985,1,0.995,0.8482,0.6739,0.22422,0.92797,0.0001982,0.0001982,0.0001982
93,4368.33,0.62222,0.23217,0.91741,0.99988,1,0.995,0.84911,0.67671,0.22329,0.92877,0.0001784,0.0001784,0.0001784
94,4415.26,0.62634,0.23299,0.9091,0.99987,1,0.995,0.84806,0.68577,0.22478,0.93151,0.0001586,0.0001586,0.0001586
95,4459.95,0.62764,0.2314,0.921,0.99988,1,0.995,0.8434,0.69465,0.22436,0.93679,0.0001388,0.0001388,0.0001388
96,4505.23,0.61971,0.22861,0.90594,0.99988,1,0.995,0.8463,0.69537,0.22477,0.93467,0.000119,0.000119,0.000119
97,4550.2,0.62602,0.23018,0.91531,0.99988,1,0.995,0.84379,0.69692,0.2232,0.93628,9.92e-05,9.92e-05,9.92e-05
98,4596.5,0.61112,0.22434,0.90652,0.99988,1,0.995,0.84018,0.70169,0.22469,0.9384,7.94e-05,7.94e-05,7.94e-05
99,4640.97,0.60917,0.22579,0.90856,0.99988,1,0.995,0.84301,0.69446,0.22279,0.93576,5.96e-05,5.96e-05,5.96e-05
100,4685.66,0.61098,0.22441,0.90329,0.99988,1,0.995,0.84181,0.70329,0.22464,0.93928,3.98e-05,3.98e-05,3.98e-05
